"api_path","_time","avg_sec_raw","p95_sec_raw","p99_sec_raw","avg_sec","current_p95_sec",latestTime,"p95_sec","p99_sec","period_p95_avg","trend_pct"
"/getagreementsbyssn","2025-11-25T08:20:00.000-0600","5.227","5.3782","5.3916","5.2","8.9",1764105300,"5.4","5.4","5.425000000000001","64.1"
"/getagreementsbyssn","2025-11-25T08:25:00.000-0600","3.015","3.1959","3.2120","3.0","8.9",1764105300,"3.2","3.2","5.425000000000001","64.1"
"/getagreementsbyssn","2025-11-25T12:20:00.000-0600","3.01625","4.1763","4.2681","3.0","8.9",1764105300,"4.2","4.3","5.425000000000001","64.1"
"/getagreementsbyssn","2025-11-25T15:15:00.000-0600","7.608499999999999","8.8617","8.9732","7.6","8.9",1764105300,"8.9","9.0","5.425000000000001","64.1"
"/getlocations","2025-11-25T08:05:00.000-0600","3.057","3.0570","3.0570","3.1","4.7",1764168900,"3.1","3.1","3.687179487179487","27.5"
"/getlocations","2025-11-25T08:15:00.000-0600","3.006","3.0060","3.0060","3.0","4.7",1764168900,"3.0","3.0","3.687179487179487","27.5"
"/getlocations","2025-11-25T08:40:00.000-0600","4.8925","5.2665","5.2997","4.9","4.7",1764168900,"5.3","5.3","3.687179487179487","27.5"
"/getlocations","2025-11-25T09:25:00.000-0600","5.363","5.3630","5.3630","5.4","4.7",1764168900,"5.4","5.4","3.687179487179487","27.5"
"/getlocations","2025-11-25T09:35:00.000-0600","2.0995","2.6642","2.7145","2.1","4.7",1764168900,"2.7","2.7","3.687179487179487","27.5"
"/getlocations","2025-11-25T09:40:00.000-0600","2.302571428571429","5.07010","5.17162","2.3","4.7",1764168900,"5.1","5.2","3.687179487179487","27.5"
"/getlocations","2025-11-25T09:45:00.000-0600","1.521","1.5210","1.5210","1.5","4.7",1764168900,"1.5","1.5","3.687179487179487","27.5"
"/getlocations","2025-11-25T09:50:00.000-0600","1.0446666666666669","1.59230","1.65126","1.0","4.7",1764168900,"1.6","1.7","3.687179487179487","27.5"
"/getlocations","2025-11-25T10:05:00.000-0600","2.325","2.3250","2.3250","2.3","4.7",1764168900,"2.3","2.3","3.687179487179487","27.5"
"/getlocations","2025-11-25T10:10:00.000-0600","1.1513333333333333","1.38140","1.38908","1.2","4.7",1764168900,"1.4","1.4","3.687179487179487","27.5"
"/getlocations","2025-11-25T10:15:00.000-0600","1.08","1.0800","1.0800","1.1","4.7",1764168900,"1.1","1.1","3.687179487179487","27.5"
"/getlocations","2025-11-25T10:35:00.000-0600","5.1","5.1000","5.1000","5.1","4.7",1764168900,"5.1","5.1","3.687179487179487","27.5"
"/getlocations","2025-11-25T12:15:00.000-0600","4.579","4.5790","4.5790","4.6","4.7",1764168900,"4.6","4.6","3.687179487179487","27.5"
"/getlocations","2025-11-25T12:20:00.000-0600",2,"2.5418","2.5900","2.0","4.7",1764168900,"2.5","2.6","3.687179487179487","27.5"
"/getlocations","2025-11-25T12:50:00.000-0600","6.537","6.5370","6.5370","6.5","4.7",1764168900,"6.5","6.5","3.687179487179487","27.5"
"/getlocations","2025-11-25T12:55:00.000-0600","3.243","3.2430","3.2430","3.2","4.7",1764168900,"3.2","3.2","3.687179487179487","27.5"
"/getlocations","2025-11-25T13:00:00.000-0600","3.726","5.2371","5.3714","3.7","4.7",1764168900,"5.2","5.4","3.687179487179487","27.5"
"/getlocations","2025-11-25T13:05:00.000-0600","1.4391666666666667","3.21400","3.76520","1.4","4.7",1764168900,"3.2","3.8","3.687179487179487","27.5"
"/getlocations","2025-11-25T13:15:00.000-0600","1.8086666666666666","2.1271","2.1350","1.8","4.7",1764168900,"2.1","2.1","3.687179487179487","27.5"
"/getlocations","2025-11-25T13:20:00.000-0600","0.7165","0.77995","0.78559","0.7","4.7",1764168900,"0.8","0.8","3.687179487179487","27.5"
"/getlocations","2025-11-25T13:25:00.000-0600","6.711","6.7110","6.7110","6.7","4.7",1764168900,"6.7","6.7","3.687179487179487","27.5"
"/getlocations","2025-11-25T13:35:00.000-0600","3.15675","6.06160","6.45472","3.2","4.7",1764168900,"6.1","6.5","3.687179487179487","27.5"
"/getlocations","2025-11-25T13:40:00.000-0600","1.883","1.8866","1.8869","1.9","4.7",1764168900,"1.9","1.9","3.687179487179487","27.5"
"/getlocations","2025-11-25T13:50:00.000-0600","5.063","5.0630","5.0630","5.1","4.7",1764168900,"5.1","5.1","3.687179487179487","27.5"
"/getlocations","2025-11-25T13:55:00.000-0600","1.936","2.0953","2.1095","1.9","4.7",1764168900,"2.1","2.1","3.687179487179487","27.5"
"/getlocations","2025-11-25T14:25:00.000-0600","4.1575","4.5989","4.6382","4.2","4.7",1764168900,"4.6","4.6","3.687179487179487","27.5"
"/getlocations","2025-11-25T14:30:00.000-0600","2.689","2.6890","2.6890","2.7","4.7",1764168900,"2.7","2.7","3.687179487179487","27.5"
"/getlocations","2025-11-25T14:35:00.000-0600","3.887","3.8870","3.8870","3.9","4.7",1764168900,"3.9","3.9","3.687179487179487","27.5"
"/getlocations","2025-11-25T14:40:00.000-0600","5.191","5.1910","5.1910","5.2","4.7",1764168900,"5.2","5.2","3.687179487179487","27.5"
"/getlocations","2025-11-25T14:55:00.000-0600","3.314","4.7324","4.8585","3.3","4.7",1764168900,"4.7","4.9","3.687179487179487","27.5"
"/getlocations","2025-11-25T15:10:00.000-0600","3.0564999999999998","3.8463","3.9165","3.1","4.7",1764168900,"3.8","3.9","3.687179487179487","27.5"
"/getlocations","2025-11-25T15:15:00.000-0600","1.792","1.7920","1.7920","1.8","4.7",1764168900,"1.8","1.8","3.687179487179487","27.5"
"/getlocations","2025-11-25T15:30:00.000-0600","1.9955","2.4082","2.4448","2.0","4.7",1764168900,"2.4","2.4","3.687179487179487","27.5"
"/getlocations","2025-11-25T15:35:00.000-0600","6.648","6.6480","6.6480","6.6","4.7",1764168900,"6.6","6.6","3.687179487179487","27.5"
"/getlocations","2025-11-25T15:40:00.000-0600","2.921","2.9210","2.9210","2.9","4.7",1764168900,"2.9","2.9","3.687179487179487","27.5"
"/getlocations","2025-11-25T15:45:00.000-0600","2.511","2.5110","2.5110","2.5","4.7",1764168900,"2.5","2.5","3.687179487179487","27.5"
"/getlocations","2025-11-25T15:55:00.000-0600","4.455","5.8104","5.9309","4.5","4.7",1764168900,"5.8","5.9","3.687179487179487","27.5"
"/getlocations","2025-11-26T07:50:00.000-0600","4.556","4.5560","4.5560","4.6","4.7",1764168900,"4.6","4.6","3.687179487179487","27.5"
"/getlocations","2025-11-26T08:55:00.000-0600","3.2155","4.6632","4.7918","3.2","4.7",1764168900,"4.7","4.8","3.687179487179487","27.5"
"/getagreements","2025-11-25T08:05:00.000-0600","5.619","5.6190","5.6190","5.6","6.0",1764168900,"5.6","5.6","5.326315789473684","12.6"
"/getagreements","2025-11-25T09:35:00.000-0600","5.419","5.4190","5.4190","5.4","6.0",1764168900,"5.4","5.4","5.326315789473684","12.6"
"/getagreements","2025-11-25T09:40:00.000-0600","5.524","5.5240","5.5240","5.5","6.0",1764168900,"5.5","5.5","5.326315789473684","12.6"
"/getagreements","2025-11-25T09:45:00.000-0600","2.306","2.3060","2.3060","2.3","6.0",1764168900,"2.3","2.3","5.326315789473684","12.6"
"/getagreements","2025-11-25T10:10:00.000-0600","5.648","5.6480","5.6480","5.6","6.0",1764168900,"5.6","5.6","5.326315789473684","12.6"
"/getagreements","2025-11-25T12:15:00.000-0600","7.552","7.5520","7.5520","7.6","6.0",1764168900,"7.6","7.6","5.326315789473684","12.6"
"/getagreements","2025-11-25T12:55:00.000-0600","5.623","5.6230","5.6230","5.6","6.0",1764168900,"5.6","5.6","5.326315789473684","12.6"
"/getagreements","2025-11-25T13:00:00.000-0600","5.881","5.8810","5.8810","5.9","6.0",1764168900,"5.9","5.9","5.326315789473684","12.6"
"/getagreements","2025-11-25T13:05:00.000-0600","2.9435000000000002","3.3193","3.3527","2.9","6.0",1764168900,"3.3","3.4","5.326315789473684","12.6"
"/getagreements","2025-11-25T13:15:00.000-0600","2.9805","3.9286","4.0129","3.0","6.0",1764168900,"3.9","4.0","5.326315789473684","12.6"
"/getagreements","2025-11-25T13:20:00.000-0600","1.572","1.5720","1.5720","1.6","6.0",1764168900,"1.6","1.6","5.326315789473684","12.6"
"/getagreements","2025-11-25T13:55:00.000-0600","6.625500000000001","7.3946","7.4629","6.6","6.0",1764168900,"7.4","7.5","5.326315789473684","12.6"
"/getagreements","2025-11-25T14:25:00.000-0600","7.437","7.4370","7.4370","7.4","6.0",1764168900,"7.4","7.4","5.326315789473684","12.6"
"/getagreements","2025-11-25T15:10:00.000-0600","6.06","6.0600","6.0600","6.1","6.0",1764168900,"6.1","6.1","5.326315789473684","12.6"
"/getagreements","2025-11-25T15:15:00.000-0600","3.5","3.5000","3.5000","3.5","6.0",1764168900,"3.5","3.5","5.326315789473684","12.6"
"/getagreements","2025-11-25T15:30:00.000-0600","4.5965","5.4186","5.4917","4.6","6.0",1764168900,"5.4","5.5","5.326315789473684","12.6"
"/getagreements","2025-11-25T15:40:00.000-0600","5.965","5.9650","5.9650","6.0","6.0",1764168900,"6.0","6.0","5.326315789473684","12.6"
"/getagreements","2025-11-26T07:50:00.000-0600","7.149","7.1490","7.1490","7.1","6.0",1764168900,"7.1","7.1","5.326315789473684","12.6"
"/getagreements","2025-11-26T08:55:00.000-0600","5.968","5.9680","5.9680","6.0","6.0",1764168900,"6.0","6.0","5.326315789473684","12.6"
"/getOrderDateAvailability","2025-11-25T09:30:00.000-0600","6.522","6.5742","6.5788","6.5","4.3",1764102300,"6.6","6.6","4.079999999999999","5.4"
"/getOrderDateAvailability","2025-11-25T13:00:00.000-0600","3.643","3.6430","3.6430","3.6","4.3",1764102300,"3.6","3.6","4.079999999999999","5.4"
"/getOrderDateAvailability","2025-11-25T13:05:00.000-0600","3.032","3.1742","3.1868","3.0","4.3",1764102300,"3.2","3.2","4.079999999999999","5.4"
"/getOrderDateAvailability","2025-11-25T13:10:00.000-0600","5.36","5.3600","5.3600","5.4","4.3",1764102300,"5.4","5.4","4.079999999999999","5.4"
"/getOrderDateAvailability","2025-11-25T13:15:00.000-0600","3.989","4.1915","4.2095","4.0","4.3",1764102300,"4.2","4.2","4.079999999999999","5.4"
"/getOrderDateAvailability","2025-11-25T13:20:00.000-0600","2.73","2.7300","2.7300","2.7","4.3",1764102300,"2.7","2.7","4.079999999999999","5.4"
"/getOrderDateAvailability","2025-11-25T13:40:00.000-0600","3.724","3.7240","3.7240","3.7","4.3",1764102300,"3.7","3.7","4.079999999999999","5.4"
"/getOrderDateAvailability","2025-11-25T14:00:00.000-0600","3.5873333333333335","4.6544","4.7461","3.6","4.3",1764102300,"4.7","4.7","4.079999999999999","5.4"
"/getOrderDateAvailability","2025-11-25T14:05:00.000-0600","2.43","2.4300","2.4300","2.4","4.3",1764102300,"2.4","2.4","4.079999999999999","5.4"
"/getOrderDateAvailability","2025-11-25T14:25:00.000-0600","4.332","4.3320","4.3320","4.3","4.3",1764102300,"4.3","4.3","4.079999999999999","5.4"
"/getcoarsegrainedaddress","2025-11-25T13:50:00.000-0600","2.908","2.9080","2.9080","2.9","2.9",1764107700,"2.9","2.9","2.8166666666666664","3.0"
"/getcoarsegrainedaddress","2025-11-25T13:55:00.000-0600","2.688","2.6880","2.6880","2.7","2.9",1764107700,"2.7","2.7","2.8166666666666664","3.0"
"/getcoarsegrainedaddress","2025-11-25T15:35:00.000-0600","3.179","3.1790","3.1790","3.2","2.9",1764107700,"3.2","3.2","2.8166666666666664","3.0"
"/getcoarsegrainedaddress","2025-11-25T15:45:00.000-0600","1.455","3.55080","4.51736","1.5","2.9",1764107700,"3.6","4.5","2.8166666666666664","3.0"
"/getcoarsegrainedaddress","2025-11-25T15:50:00.000-0600","1.1995","1.60495","1.64099","1.2","2.9",1764107700,"1.6","1.6","2.8166666666666664","3.0"
"/getcoarsegrainedaddress","2025-11-25T15:55:00.000-0600","2.921","2.9210","2.9210","2.9","2.9",1764107700,"2.9","2.9","2.8166666666666664","3.0"
"/updateuseragreementsinfr","2025-11-25T15:15:00.000-0600","4.215","4.2150","4.2150","4.2","4.2",1764105300,"4.2","4.2","4.2","0.0"
"/updateUserCommAndReports","2025-11-25T15:15:00.000-0600","5.486","5.4860","5.4860","5.5","5.5",1764105300,"5.5","5.5","5.5","0.0"
"/updateAgreement","2025-11-25T15:15:00.000-0600","15.396","15.396","15.396","15.4","15.4",1764105300,"15.4","15.4","15.4","0.0"
"/sendRegistrationConfirmationEmail","2025-11-25T15:15:00.000-0600","3.079","3.0790","3.0790","3.1","3.1",1764105300,"3.1","3.1","3.1","0.0"
"/sendEmailUpdateEmail","2025-11-25T15:15:00.000-0600","6.615","6.6150","6.6150","6.6","6.6",1764105300,"6.6","6.6","6.6","0.0"
"/getagreementsbypremisenumbers","2025-11-25T15:35:00.000-0600","2.0340000000000003","2.3506","2.3821","2.0","2.3",1764107400,"2.4","2.4","2.3","0.0"
"/getagreementsbypremisenumbers","2025-11-25T15:45:00.000-0600","1.1033125","2.22225","2.47725","1.1","2.3",1764107400,"2.2","2.5","2.3","0.0"
"/getagreementsbypremisenumbers","2025-11-25T15:50:00.000-0600","1.9256666666666664","2.2568","2.2786","1.9","2.3",1764107400,"2.3","2.3","2.3","0.0"
"/addlocations","2025-11-25T15:40:00.000-0600","2.994","2.9940","2.9940","3.0","3.0",1764106800,"3.0","3.0",3,"0.0"
"/submitLandlordConnect","2025-11-25T09:35:00.000-0600","6.592","6.5920","6.5920","6.6","5.1",1764102300,"6.6","6.6","5.24","-2.7"
"/submitLandlordConnect","2025-11-25T13:05:00.000-0600","4.047","4.0470","4.0470","4.0","5.1",1764102300,"4.0","4.0","5.24","-2.7"
"/submitLandlordConnect","2025-11-25T14:00:00.000-0600","4.2455","5.4628","5.5710","4.2","5.1",1764102300,"5.5","5.6","5.24","-2.7"
"/submitLandlordConnect","2025-11-25T14:05:00.000-0600","4.7435","5.0095","5.0331","4.7","5.1",1764102300,"5.0","5.0","5.24","-2.7"
"/submitLandlordConnect","2025-11-25T14:25:00.000-0600","5.111","5.1110","5.1110","5.1","5.1",1764102300,"5.1","5.1","5.24","-2.7"
"/getaddressautosuggest","2025-11-25T13:45:00.000-0600","2.941","2.9410","2.9410","2.9","3.0",1764107700,"2.9","2.9","3.2","-6.3"
"/getaddressautosuggest","2025-11-25T13:55:00.000-0600","1.422","1.4220","1.4220","1.4","3.0",1764107700,"1.4","1.4","3.2","-6.3"
"/getaddressautosuggest","2025-11-25T15:35:00.000-0600","4.686","4.6860","4.6860","4.7","3.0",1764107700,"4.7","4.7","3.2","-6.3"
"/getaddressautosuggest","2025-11-25T15:45:00.000-0600","2.9065000000000003","3.9986","4.0957","2.9","3.0",1764107700,"4.0","4.1","3.2","-6.3"
"/getaddressautosuggest","2025-11-25T15:55:00.000-0600","2.987","2.9870","2.9870","3.0","3.0",1764107700,"3.0","3.0","3.2","-6.3"
"/removelocations","2025-11-25T13:55:00.000-0600","5.029","5.0290","5.0290","5.0","4.1",1764105900,"5.0","5.0","4.55","-9.9"
"/removelocations","2025-11-25T15:25:00.000-0600","4.055","4.0550","4.0550","4.1","4.1",1764105900,"4.1","4.1","4.55","-9.9"
"/getServiceOrderHistory","2025-11-25T08:00:00.000-0600","3.7275","4.8125","4.9089","3.7","1.6",1764168900,"4.8","4.9","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T08:05:00.000-0600","1.3833333333333335","2.03620","2.12324","1.4","1.6",1764168900,"2.0","2.1","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T08:10:00.000-0600","0.643","0.64300","0.64300","0.6","1.6",1764168900,"0.6","0.6","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T08:15:00.000-0600","1.578","3.55660","3.83532","1.6","1.6",1764168900,"3.6","3.8","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T08:20:00.000-0600","1.1144","2.23560","2.35272","1.1","1.6",1764168900,"2.2","2.4","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T08:55:00.000-0600","2.627666666666667","4.65740","4.83708","2.6","1.6",1764168900,"4.7","4.8","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T09:25:00.000-0600","4.794","4.7940","4.7940","4.8","1.6",1764168900,"4.8","4.8","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T09:35:00.000-0600","0.972","1.55040","1.61728","1.0","1.6",1764168900,"1.6","1.6","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T09:40:00.000-0600","0.9514999999999999","2.97200","3.57280","1.0","1.6",1764168900,"3.0","3.6","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T09:45:00.000-0600","0.642","0.94350","0.97030","0.6","1.6",1764168900,"0.9","1.0","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T09:50:00.000-0600","1.2768000000000002","2.07460","2.21412","1.3","1.6",1764168900,"2.1","2.2","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T09:55:00.000-0600","1.276","1.2760","1.2760","1.3","1.6",1764168900,"1.3","1.3","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T10:00:00.000-0600","2.1550000000000002","2.9974","3.0723","2.2","1.6",1764168900,"3.0","3.1","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T10:05:00.000-0600","1.051","1.51720","1.55864","1.1","1.6",1764168900,"1.5","1.6","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T10:10:00.000-0600","0.535","0.53500","0.53500","0.5","1.6",1764168900,"0.5","0.5","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T10:15:00.000-0600","0.592","0.59200","0.59200","0.6","1.6",1764168900,"0.6","0.6","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T10:35:00.000-0600","2.1886666666666668","2.6346","2.6677","2.2","1.6",1764168900,"2.6","2.7","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T10:55:00.000-0600","5.176","5.1760","5.1760","5.2","1.6",1764168900,"5.2","5.2","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T13:35:00.000-0600","1.535","1.5350","1.5350","1.5","1.6",1764168900,"1.5","1.5","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T14:45:00.000-0600","4.885","4.8850","4.8850","4.9","1.6",1764168900,"4.9","4.9","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T14:55:00.000-0600","1.59225","4.29825","4.79325","1.6","1.6",1764168900,"4.3","4.8","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T15:05:00.000-0600","0.9925714285714285","3.56520","4.55064","1.0","1.6",1764168900,"3.6","4.6","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T15:10:00.000-0600","0.284","0.35600","0.36240","0.3","1.6",1764168900,"0.4","0.4","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T15:20:00.000-0600","6.168","6.1680","6.1680","6.2","1.6",1764168900,"6.2","6.2","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T15:25:00.000-0600","3.1609999999999996","3.7145","3.7637","3.2","1.6",1764168900,"3.7","3.8","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T15:30:00.000-0600","1.392","1.3920","1.3920","1.4","1.6",1764168900,"1.4","1.4","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T15:40:00.000-0600","4.924","4.9240","4.9240","4.9","1.6",1764168900,"4.9","4.9","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-25T15:45:00.000-0600","2.236","2.2360","2.2360","2.2","1.6",1764168900,"2.2","2.2","2.748275862068966","-41.8"
"/getServiceOrderHistory","2025-11-26T08:55:00.000-0600","1.1824999999999999","1.60505","1.64261","1.2","1.6",1764168900,"1.6","1.6","2.748275862068966","-41.8"
